cve,legacy_date_published,current_date_published
CVE-2002-1845,2005-06-28,2022-10-03
CVE-2002-1846,2005-06-28,2022-10-03
CVE-2002-1848,2005-06-28,2022-10-03
CVE-2002-1849,2005-06-28,2022-10-03
CVE-2002-1851,2005-06-28,2022-10-03
CVE-2002-1852,2005-06-28,2022-10-03
CVE-2002-1853,2005-06-28,2022-10-03
CVE-2002-1854,2005-06-28,2022-10-03
CVE-2002-1855,2005-06-28,2022-10-03
CVE-2002-1856,2005-06-28,2022-10-03
CVE-2002-1858,2005-06-28,2022-10-03
CVE-2002-1859,2005-06-28,2022-10-03
CVE-2002-1860,2005-06-28,2022-10-03
CVE-2002-1861,2005-06-28,2022-10-03
CVE-2002-1862,2005-06-28,2022-10-03
CVE-2002-1863,2005-06-28,2022-10-03
CVE-2002-1864,2005-06-28,2022-10-03
CVE-2002-1865,2005-06-28,2022-10-03
CVE-2002-1866,2005-06-28,2022-10-03
CVE-2002-1868,2005-06-28,2022-10-03
CVE-2002-1869,2005-06-28,2022-10-03
CVE-2002-1870,2005-06-28,2022-10-03
CVE-2002-1871,2005-06-28,2022-10-03
CVE-2002-1873,2005-06-28,2022-10-03
CVE-2002-1875,2005-06-28,2022-10-03
CVE-2002-1876,2005-06-28,2022-10-03
CVE-2002-1879,2005-06-28,2022-10-03
CVE-2002-1880,2005-06-28,2022-10-03
CVE-2002-1881,2005-06-28,2022-10-03
CVE-2002-1883,2005-06-28,2022-10-03
CVE-2002-1884,2005-06-28,2022-10-03
CVE-2002-1886,2005-06-28,2022-10-03
CVE-2002-1888,2005-06-28,2022-10-03
CVE-2002-1889,2005-06-28,2022-10-03
CVE-2002-1890,2005-06-28,2022-10-03
CVE-2002-1891,2005-06-28,2022-10-03
CVE-2002-1892,2005-06-28,2022-10-03
CVE-2002-1893,2005-06-28,2022-10-03
CVE-2002-1894,2005-06-28,2022-10-03
CVE-2002-1896,2005-06-28,2022-10-03
CVE-2002-1898,2005-06-28,2022-10-03
CVE-2002-1899,2005-06-28,2022-10-03
CVE-2002-1900,2005-06-28,2022-10-03
CVE-2002-1901,2005-06-28,2022-10-03
CVE-2002-1903,2005-06-28,2022-10-03
CVE-2002-1904,2005-06-28,2022-10-03
CVE-2002-1905,2005-06-28,2022-10-03
CVE-2002-1906,2005-06-28,2022-10-03
CVE-2002-1907,2005-06-28,2022-10-03
CVE-2002-1908,2005-06-28,2022-10-03
CVE-2002-1909,2005-06-28,2022-10-03
CVE-2002-1910,2005-06-28,2022-10-03
CVE-2002-1911,2005-06-28,2022-10-03
CVE-2002-1913,2005-06-28,2022-10-03
CVE-2002-1915,2005-06-28,2022-10-03
CVE-2002-1916,2005-06-28,2022-10-03
CVE-2002-1917,2005-06-28,2022-10-03
CVE-2002-1920,2005-06-28,2022-10-03
CVE-2002-1921,2005-06-28,2022-10-03
CVE-2002-1922,2005-06-28,2022-10-03
CVE-2002-1923,2005-06-28,2022-10-03
CVE-2002-1924,2005-06-28,2022-10-03
CVE-2002-1925,2005-06-28,2022-10-03
CVE-2002-1926,2005-06-28,2022-10-03
CVE-2002-1928,2005-06-28,2022-10-03
CVE-2002-1930,2005-06-28,2022-10-03
CVE-2002-1931,2005-06-28,2022-10-03
CVE-2002-1932,2005-06-28,2022-10-03
CVE-2002-1933,2005-06-28,2022-10-03
CVE-2002-1934,2005-06-28,2022-10-03
CVE-2002-1935,2005-06-28,2022-10-03
CVE-2002-1936,2005-06-28,2022-10-03
CVE-2002-1937,2005-06-28,2022-10-03
CVE-2002-1938,2005-06-28,2022-10-03
CVE-2002-1939,2005-06-28,2022-10-03
CVE-2002-1940,2005-06-28,2022-10-03
CVE-2002-1941,2005-06-28,2022-10-03
CVE-2002-1942,2005-06-28,2022-10-03
CVE-2002-1943,2005-06-28,2022-10-03
CVE-2002-1944,2005-06-28,2022-10-03
CVE-2002-1946,2005-06-28,2022-10-03
CVE-2002-1948,2005-06-28,2022-10-03
CVE-2002-1949,2005-06-28,2022-10-03
CVE-2002-1950,2005-06-28,2022-10-03
CVE-2002-1953,2005-06-28,2022-10-03
CVE-2002-1954,2005-06-28,2022-10-03
CVE-2002-1955,2005-06-28,2022-10-03
CVE-2002-1956,2005-06-28,2022-10-03
CVE-2002-1959,2005-06-28,2022-10-03
CVE-2002-1960,2005-06-28,2022-10-03
CVE-2002-1961,2005-06-28,2022-10-03
CVE-2002-1962,2005-06-28,2022-10-03
CVE-2002-1963,2005-06-28,2022-10-03
CVE-2002-1964,2005-06-28,2022-10-03
CVE-2002-1965,2005-06-28,2022-10-03
CVE-2002-1966,2005-06-28,2022-10-03
CVE-2002-1967,2005-06-28,2022-10-03
CVE-2002-1968,2005-06-28,2022-10-03
CVE-2002-1969,2005-06-28,2022-10-03
CVE-2002-1970,2005-06-28,2022-10-03
CVE-2002-1971,2005-06-28,2022-10-03
CVE-2002-1974,2005-06-28,2022-10-03
CVE-2002-1975,2005-06-28,2022-10-03
CVE-2002-1977,2005-06-28,2022-10-03
CVE-2002-1980,2005-06-28,2022-10-03
CVE-2002-1981,2005-06-28,2022-10-03
