cve,legacy_date_published,current_date_published
CVE-2009-3815,2009-10-27,2022-10-03
CVE-2009-3816,2009-10-28,2022-10-03
CVE-2009-3817,2009-10-28,2022-10-03
CVE-2009-3818,2009-10-28,2022-10-03
CVE-2009-3819,2009-10-28,2022-10-03
CVE-2009-3820,2009-10-28,2022-10-03
CVE-2009-3821,2009-10-28,2022-10-03
CVE-2009-3822,2009-10-28,2022-10-03
CVE-2009-3833,2009-11-02,2022-10-03
CVE-2009-3836,2009-11-02,2022-10-03
CVE-2009-3856,2009-11-04,2022-10-03
CVE-2009-3870,2009-06-01,2022-10-03
CVE-2009-3890,2009-11-17,2022-10-03
CVE-2009-3891,2009-11-17,2022-10-03
CVE-2009-3901,2009-11-06,2022-10-03
CVE-2009-3906,2009-12-11,2022-10-03
CVE-2009-3907,2009-12-11,2022-10-03
CVE-2009-3908,2009-12-11,2022-10-03
CVE-2009-3912,2009-11-09,2022-10-03
CVE-2009-3921,2009-11-09,2022-10-03
CVE-2009-3932,2009-11-12,2022-10-03
CVE-2009-3935,2009-11-12,2022-10-03
CVE-2009-3937,2009-11-13,2022-10-03
CVE-2009-3941,2009-11-16,2022-10-03
CVE-2009-3952,2010-01-08,2022-10-03
CVE-2009-3974,2009-11-18,2022-10-03
CVE-2009-3978,2009-11-18,2022-10-03
CVE-2009-4000,2010-01-20,2022-10-03
CVE-2009-4008,2011-06-02,2022-10-03
CVE-2009-4013,2010-02-02,2022-10-03
CVE-2009-4014,2010-02-02,2022-10-03
CVE-2009-4015,2010-02-02,2022-10-03
CVE-2009-4016,2010-02-04,2022-10-03
CVE-2009-4037,2009-11-20,2022-10-03
CVE-2009-4038,2009-11-20,2022-10-03
CVE-2009-4039,2009-11-20,2022-10-03
CVE-2009-4040,2009-11-20,2022-10-03
CVE-2009-4041,2009-11-20,2022-10-03
CVE-2009-4045,2009-11-20,2022-10-03
CVE-2009-4046,2009-11-20,2022-10-03
CVE-2009-4047,2009-11-23,2022-10-03
CVE-2009-4050,2009-11-23,2022-10-03
CVE-2009-4053,2009-11-23,2022-10-03
CVE-2009-4056,2009-11-23,2022-10-03
CVE-2009-4069,2009-11-24,2022-10-03
CVE-2009-4070,2009-11-24,2022-10-03
CVE-2009-4076,2009-11-25,2022-10-03
CVE-2009-4077,2009-11-25,2022-10-03
CVE-2009-4080,2009-11-27,2022-10-03
CVE-2009-4103,2009-11-28,2022-10-03
CVE-2009-4104,2009-11-28,2022-10-03
CVE-2009-4109,2009-11-28,2022-10-03
CVE-2009-4118,2009-11-30,2022-10-03
CVE-2009-4127,2009-12-02,2022-10-03
CVE-2009-4132,2009-12-11,2022-10-03
CVE-2009-4137,2009-12-24,2022-10-03
CVE-2009-4149,2009-12-09,2022-10-03
CVE-2009-4150,2009-12-02,2022-10-03
CVE-2009-4152,2009-12-02,2022-10-03
CVE-2009-4153,2009-12-02,2022-10-03
CVE-2009-4154,2009-12-02,2022-10-03
CVE-2009-4157,2009-12-02,2022-10-03
CVE-2009-4158,2009-12-02,2022-10-03
CVE-2009-4159,2009-12-02,2022-10-03
CVE-2009-4160,2009-12-02,2022-10-03
CVE-2009-4161,2009-12-02,2022-10-03
CVE-2009-4162,2009-12-02,2022-10-03
CVE-2009-4163,2009-12-02,2022-10-03
CVE-2009-4164,2009-12-02,2022-10-03
CVE-2009-4165,2009-12-02,2022-10-03
CVE-2009-4166,2009-12-02,2022-10-03
CVE-2009-4167,2009-12-02,2022-10-03
CVE-2009-4169,2009-12-02,2022-10-03
CVE-2009-4182,2010-01-14,2022-10-03
CVE-2009-4183,2010-01-28,2022-10-03
CVE-2009-4187,2009-12-03,2022-10-03
CVE-2009-4188,2009-12-03,2022-10-03
CVE-2009-4189,2009-12-03,2022-10-03
CVE-2009-4190,2009-12-03,2022-10-03
CVE-2009-4191,2009-12-03,2022-10-03
CVE-2009-4192,2009-12-03,2022-10-03
CVE-2009-4207,2009-12-04,2022-10-03
CVE-2009-4217,2009-12-07,2022-10-03
CVE-2009-4222,2009-12-07,2022-10-03
CVE-2009-4230,2009-12-08,2022-10-03
CVE-2009-4231,2009-12-08,2022-10-03
CVE-2009-4232,2009-12-08,2022-10-03
CVE-2009-4233,2009-12-08,2022-10-03
CVE-2009-4234,2009-12-08,2022-10-03
CVE-2009-4265,2009-12-10,2022-10-03
CVE-2009-4267,2018-02-19,2018-02-08
CVE-2009-4294,2009-12-11,2022-10-03
CVE-2009-4295,2009-12-11,2022-10-03
CVE-2009-4296,2009-12-11,2022-10-03
CVE-2009-4297,2009-12-15,2022-10-03
CVE-2009-4298,2009-12-15,2022-10-03
CVE-2009-4299,2009-12-15,2022-10-03
CVE-2009-4300,2009-12-15,2022-10-03
CVE-2009-4301,2009-12-15,2022-10-03
CVE-2009-4302,2009-12-15,2022-10-03
CVE-2009-4303,2009-12-15,2022-10-03
CVE-2009-4304,2009-12-15,2022-10-03
CVE-2009-4305,2009-12-15,2022-10-03
CVE-2009-4314,2009-12-14,2022-10-03
CVE-2009-4316,2009-12-14,2022-10-03
CVE-2009-4323,2009-12-14,2022-10-03
CVE-2009-4325,2009-12-16,2022-10-03
CVE-2009-4326,2009-12-16,2022-10-03
CVE-2009-4327,2009-12-16,2022-10-03
CVE-2009-4328,2009-12-16,2022-10-03
CVE-2009-4329,2009-12-16,2022-10-03
CVE-2009-4330,2009-12-16,2022-10-03
CVE-2009-4332,2009-12-16,2022-10-03
CVE-2009-4333,2009-12-16,2022-10-03
CVE-2009-4334,2009-12-16,2022-10-03
CVE-2009-4346,2009-12-17,2022-10-03
CVE-2009-4350,2009-12-17,2022-10-03
CVE-2009-4357,2009-12-18,2022-10-03
CVE-2009-4358,2009-12-19,2022-10-03
CVE-2009-4361,2009-12-21,2022-10-03
CVE-2009-4362,2009-12-21,2022-10-03
CVE-2009-4363,2009-12-21,2022-10-03
CVE-2009-4373,2009-12-21,2022-10-03
CVE-2009-4374,2009-12-21,2022-10-03
CVE-2009-4375,2009-12-21,2022-10-03
CVE-2009-4379,2009-12-22,2022-10-03
CVE-2009-4380,2009-12-22,2022-10-03
CVE-2009-4383,2009-12-22,2022-10-03
CVE-2009-4387,2009-12-22,2022-10-03
CVE-2009-4388,2009-12-22,2022-10-03
CVE-2009-4389,2009-12-22,2022-10-03
CVE-2009-4390,2009-12-22,2022-10-03
CVE-2009-4391,2009-12-22,2022-10-03
CVE-2009-4392,2009-12-22,2022-10-03
CVE-2009-4393,2009-12-22,2022-10-03
CVE-2009-4394,2009-12-22,2022-10-03
CVE-2009-4395,2009-12-22,2022-10-03
CVE-2009-4396,2009-12-22,2022-10-03
CVE-2009-4397,2009-12-22,2022-10-03
CVE-2009-4398,2009-12-22,2022-10-03
CVE-2009-4399,2009-12-22,2022-10-03
CVE-2009-4400,2009-12-22,2022-10-03
CVE-2009-4401,2009-12-22,2022-10-03
CVE-2009-4409,2009-12-23,2022-10-03
CVE-2009-4417,2009-12-24,2022-10-03
CVE-2009-4418,2009-12-24,2022-10-03
CVE-2009-4431,2009-12-28,2022-10-03
CVE-2009-4438,2009-12-28,2022-10-03
CVE-2009-4439,2009-12-28,2022-10-03
CVE-2009-4444,2009-12-29,2022-10-03
CVE-2009-4476,2009-12-30,2022-10-03
CVE-2009-4479,2009-12-30,2022-10-03
CVE-2009-4480,2009-12-30,2022-10-03
CVE-2009-4482,2009-12-30,2022-10-03
CVE-2009-4483,2009-12-30,2022-10-03
CVE-2009-4497,2010-01-07,2022-10-03
CVE-2009-4499,2009-12-31,2022-10-03
CVE-2009-4500,2009-12-31,2022-10-03
CVE-2009-4501,2009-12-31,2022-10-03
CVE-2009-4502,2009-12-31,2022-10-03
CVE-2009-4510,2010-04-13,2022-10-03
CVE-2009-4514,2009-12-31,2022-10-03
CVE-2009-4515,2009-12-31,2022-10-03
CVE-2009-4516,2009-12-31,2022-10-03
CVE-2009-4517,2009-12-31,2022-10-03
CVE-2009-4518,2009-12-31,2022-10-03
CVE-2009-4520,2009-12-31,2022-10-03
CVE-2009-4526,2009-12-31,2022-10-03
CVE-2009-4530,2009-12-31,2022-10-03
CVE-2009-4534,2009-12-31,2022-10-03
CVE-2009-4535,2009-12-31,2022-10-03
CVE-2009-4584,2010-01-06,2022-10-03
CVE-2009-4586,2010-01-07,2022-10-03
CVE-2009-4593,2010-01-07,2022-10-03
CVE-2009-4595,2010-01-12,2022-10-03
CVE-2009-4601,2010-01-12,2022-10-03
CVE-2009-4602,2010-01-12,2022-10-03
CVE-2009-4603,2010-01-12,2022-10-03
CVE-2009-4609,2010-01-13,2022-10-03
CVE-2009-4610,2010-01-13,2022-10-03
CVE-2009-4612,2010-01-13,2022-10-03
CVE-2009-4613,2010-01-14,2022-10-03
CVE-2009-4629,2010-01-29,2022-10-03
CVE-2009-4630,2010-01-29,2022-10-03
CVE-2009-4642,2010-02-11,2022-10-03
CVE-2009-4643,2010-02-15,2022-10-03
CVE-2009-4646,2010-02-19,2022-10-03
CVE-2009-4650,2010-02-22,2022-10-03
CVE-2009-4651,2010-02-22,2022-10-03
CVE-2009-4676,2010-03-05,2022-10-03
CVE-2009-4688,2010-03-10,2022-10-03
CVE-2009-4689,2010-03-10,2022-10-03
CVE-2009-4691,2010-03-10,2022-10-03
CVE-2009-4701,2010-03-15,2022-10-03
CVE-2009-4702,2010-03-15,2022-10-03
CVE-2009-4703,2010-03-15,2022-10-03
CVE-2009-4704,2010-03-15,2022-10-03
CVE-2009-4705,2010-03-15,2022-10-03
CVE-2009-4706,2010-03-15,2022-10-03
CVE-2009-4707,2010-03-15,2022-10-03
CVE-2009-4708,2010-03-15,2022-10-03
CVE-2009-4709,2010-03-15,2022-10-03
CVE-2009-4710,2010-03-15,2022-10-03
CVE-2009-4711,2010-03-15,2022-10-03
CVE-2009-4712,2010-03-15,2022-10-03
CVE-2009-4714,2010-03-15,2022-10-03
CVE-2009-4717,2010-03-15,2022-10-03
CVE-2009-4718,2010-03-15,2022-10-03
CVE-2009-4720,2010-03-18,2022-10-03
CVE-2009-4738,2013-01-18,2022-10-03
CVE-2009-4740,2010-03-26,2022-10-03
CVE-2009-4741,2010-03-26,2022-10-03
CVE-2009-4765,2010-04-13,2022-10-03
CVE-2009-4766,2010-04-13,2022-10-03
CVE-2009-4769,2010-04-20,2022-10-03
CVE-2009-4770,2010-04-20,2022-10-03
CVE-2009-4774,2010-04-21,2022-10-03
CVE-2009-4776,2010-04-21,2022-10-03
CVE-2009-4778,2010-04-21,2022-10-03
CVE-2009-4780,2010-04-21,2022-10-03
CVE-2009-4784,2010-04-21,2022-10-03
CVE-2009-4785,2010-04-21,2022-10-03
CVE-2009-4786,2010-04-21,2022-10-03
CVE-2009-4787,2010-04-21,2022-10-03
CVE-2009-4788,2010-04-21,2022-10-03
CVE-2009-4789,2010-04-21,2022-10-03
CVE-2009-4790,2010-04-22,2022-10-03
CVE-2009-4802,2010-04-23,2022-10-03
CVE-2009-4803,2010-04-23,2022-10-03
CVE-2009-4804,2010-04-23,2022-10-03
CVE-2009-4810,2010-04-23,2022-10-03
CVE-2009-4812,2010-04-27,2022-10-03
CVE-2009-4821,2010-04-27,2022-10-03
CVE-2009-4829,2010-04-27,2022-10-03
CVE-2009-4830,2010-04-27,2022-10-03
CVE-2009-4835,2010-05-05,2022-10-03
CVE-2009-4837,2010-05-05,2022-10-03
CVE-2009-4838,2010-05-05,2022-10-03
CVE-2009-4839,2010-05-05,2022-10-03
CVE-2009-4842,2010-05-07,2022-10-03
CVE-2009-4851,2010-05-07,2022-10-03
CVE-2009-4852,2010-05-07,2022-10-03
CVE-2009-4858,2010-05-10,2022-10-03
CVE-2009-4859,2010-05-10,2022-10-03
CVE-2009-4861,2010-05-10,2022-10-03
CVE-2009-4868,2010-05-10,2022-10-03
CVE-2009-4869,2010-05-10,2022-10-03
CVE-2009-4873,2010-05-26,2022-10-03
CVE-2009-4879,2010-05-26,2022-10-03
CVE-2009-4894,2010-06-14,2022-10-03
CVE-2009-4898,2010-09-07,2022-10-03
CVE-2009-4905,2010-06-25,2022-10-03
CVE-2009-4906,2010-06-25,2022-10-03
CVE-2009-4910,2010-06-29,2022-10-03
CVE-2009-4911,2010-06-29,2022-10-03
CVE-2009-4912,2010-06-29,2022-10-03
CVE-2009-4913,2010-06-29,2022-10-03
CVE-2009-4914,2010-06-29,2022-10-03
CVE-2009-4915,2010-06-29,2022-10-03
CVE-2009-4916,2010-06-29,2022-10-03
CVE-2009-4917,2010-06-29,2022-10-03
CVE-2009-4918,2010-06-29,2022-10-03
CVE-2009-4919,2010-06-29,2022-10-03
CVE-2009-4920,2010-06-29,2022-10-03
CVE-2009-4921,2010-06-29,2022-10-03
CVE-2009-4922,2010-06-29,2022-10-03
CVE-2009-4923,2010-06-29,2022-10-03
CVE-2009-4924,2010-07-02,2022-10-03
CVE-2009-4926,2010-07-09,2022-10-03
CVE-2009-4934,2010-07-09,2022-10-03
CVE-2009-4948,2010-07-22,2022-10-03
CVE-2009-4949,2010-07-22,2022-10-03
CVE-2009-4950,2010-07-22,2022-10-03
CVE-2009-4951,2010-07-22,2022-10-03
CVE-2009-4952,2010-07-22,2022-10-03
CVE-2009-4953,2010-07-22,2022-10-03
CVE-2009-4954,2010-07-22,2022-10-03
CVE-2009-4955,2010-07-22,2022-10-03
CVE-2009-4956,2010-07-22,2022-10-03
CVE-2009-4959,2010-07-27,2022-10-03
CVE-2009-4963,2010-07-27,2022-10-03
CVE-2009-4965,2010-07-27,2022-10-03
CVE-2009-4966,2010-07-27,2022-10-03
CVE-2009-4967,2010-07-27,2022-10-03
CVE-2009-4968,2010-07-27,2022-10-03
CVE-2009-4969,2010-07-27,2022-10-03
CVE-2009-4970,2010-07-27,2022-10-03
CVE-2009-4971,2010-07-27,2022-10-03
CVE-2009-4972,2010-07-27,2022-10-03
CVE-2009-4979,2010-08-25,2022-10-03
CVE-2009-4980,2010-08-25,2022-10-03
CVE-2009-4981,2010-08-25,2022-10-03
CVE-2009-4983,2010-08-25,2022-10-03
CVE-2009-4989,2010-08-25,2022-10-03
CVE-2009-4990,2010-08-25,2022-10-03
CVE-2009-4991,2010-08-25,2022-10-03
CVE-2009-4994,2010-08-25,2022-10-03
CVE-2009-4995,2010-08-25,2022-10-03
CVE-2009-4996,2010-09-07,2022-10-03
CVE-2009-4997,2010-09-07,2022-10-03
CVE-2009-4998,2010-09-20,2022-10-03
CVE-2009-4999,2010-09-20,2022-10-03
CVE-2009-5000,2010-09-20,2022-10-03
CVE-2009-5001,2010-09-20,2022-10-03
CVE-2009-5002,2010-09-20,2022-10-03
CVE-2009-5008,2010-10-12,2022-10-03
CVE-2009-5009,2010-10-12,2022-10-03
CVE-2009-5010,2010-10-19,2022-10-03
CVE-2009-5011,2010-10-19,2022-10-03
CVE-2009-5012,2010-10-19,2022-10-03
CVE-2009-5013,2010-10-19,2022-10-03
CVE-2009-5014,2010-11-05,2022-10-03
CVE-2009-5015,2010-11-05,2022-10-03
CVE-2009-5017,2010-11-12,2022-10-03
CVE-2009-5020,2010-12-02,2022-10-03
CVE-2009-5035,2010-12-16,2022-10-03
CVE-2009-5036,2010-12-16,2022-10-03
CVE-2009-5052,2011-02-03,2022-10-03
CVE-2009-5053,2011-02-03,2022-10-03
CVE-2009-5054,2011-02-03,2022-10-03
CVE-2009-5055,2011-03-18,2022-10-03
CVE-2009-5056,2011-03-18,2022-10-03
CVE-2009-5057,2011-03-18,2022-10-03
CVE-2009-5058,2011-03-22,2022-10-03
CVE-2009-5059,2011-03-22,2022-10-03
CVE-2009-5060,2011-03-22,2022-10-03
CVE-2009-5061,2011-03-22,2022-10-03
CVE-2009-5062,2011-03-22,2022-10-03
CVE-2009-5071,2011-04-19,2022-10-03
CVE-2009-5072,2011-04-21,2022-10-03
CVE-2009-5073,2011-04-21,2022-10-03
CVE-2009-5074,2011-05-02,2022-10-03
CVE-2009-5075,2011-05-20,2022-10-03
CVE-2009-5076,2011-06-08,2022-10-03
CVE-2009-5077,2011-06-08,2022-10-03
CVE-2009-5082,2011-06-30,2022-10-03
CVE-2009-5083,2011-08-12,2022-10-03
CVE-2009-5084,2011-08-12,2022-10-03
CVE-2009-5085,2011-08-12,2022-10-03
CVE-2009-5097,2011-09-13,2022-10-03
CVE-2009-5102,2011-10-21,2022-10-03
CVE-2009-5103,2011-10-21,2022-10-03
CVE-2009-5109,2011-12-24,2022-10-03
CVE-2009-5110,2011-12-27,2022-10-03
CVE-2009-5111,2011-12-27,2022-10-03
CVE-2009-5116,2012-08-22,2022-10-03
CVE-2009-5119,2012-08-23,2022-10-03
CVE-2009-5120,2012-08-23,2022-10-03
CVE-2009-5121,2012-08-23,2022-10-03
CVE-2009-5123,2012-08-25,2022-10-03
CVE-2009-5124,2012-08-25,2022-10-03
CVE-2009-5125,2012-08-25,2022-10-03
CVE-2009-5126,2012-08-25,2022-10-03
CVE-2009-5127,2012-08-25,2022-10-03
CVE-2009-5128,2012-08-26,2022-10-03
CVE-2009-5129,2012-08-26,2022-10-03
CVE-2009-5130,2012-08-26,2022-10-03
CVE-2009-5131,2012-08-26,2022-10-03
CVE-2009-5136,2013-10-11,2022-10-03
CVE-2009-5137,2014-01-02,2022-10-03
CVE-2009-5141,2014-03-31,2022-10-03
CVE-2009-5142,2014-08-21,2022-10-03
CVE-2010-0002,2010-01-14,2022-10-03
CVE-2010-0004,2010-01-29,2022-10-03
CVE-2010-0005,2010-01-29,2022-10-03
CVE-2010-0014,2010-01-14,2022-10-03
CVE-2010-0056,2010-03-30,2022-10-03
CVE-2010-0057,2010-03-30,2022-10-03
CVE-2010-0058,2010-03-30,2022-10-03
CVE-2010-0063,2010-03-30,2022-10-03
CVE-2010-0064,2010-03-30,2022-10-03
CVE-2010-0065,2010-03-30,2022-10-03
CVE-2010-0099,2010-07-22,2022-10-03
CVE-2010-0101,2010-05-04,2022-10-03
CVE-2010-0103,2010-03-09,2022-10-03
CVE-2010-0104,2010-03-18,2022-10-03
CVE-2010-0139,2010-01-28,2022-10-03
CVE-2010-0140,2010-01-28,2022-10-03
CVE-2010-0141,2010-01-28,2022-10-03
CVE-2010-0142,2010-01-28,2022-10-03
CVE-2010-0157,2010-01-06,2022-10-03
CVE-2010-0180,2010-06-28,2022-10-03
CVE-2010-0184,2010-01-14,2022-10-03
CVE-2010-0200,2010-04-14,2022-10-03
CVE-2010-0215,2011-01-07,2022-10-03
CVE-2010-0218,2010-10-05,2022-10-03
CVE-2010-0227,2010-01-07,2022-10-03
CVE-2010-0228,2010-01-07,2022-10-03
CVE-2010-0229,2010-01-07,2022-10-03
CVE-2010-0273,2010-01-08,2022-10-03
CVE-2010-0292,2010-02-08,2022-10-03
CVE-2010-0293,2010-02-08,2022-10-03
CVE-2010-0294,2010-02-08,2022-10-03
CVE-2010-0312,2010-01-14,2022-10-03
CVE-2010-0316,2010-01-15,2022-10-03
CVE-2010-0322,2010-01-15,2022-10-03
CVE-2010-0323,2010-01-15,2022-10-03
CVE-2010-0324,2010-01-15,2022-10-03
CVE-2010-0325,2010-01-15,2022-10-03
CVE-2010-0326,2010-01-15,2022-10-03
CVE-2010-0327,2010-01-15,2022-10-03
CVE-2010-0328,2010-01-15,2022-10-03
CVE-2010-0329,2010-01-15,2022-10-03
CVE-2010-0330,2010-01-15,2022-10-03
CVE-2010-0331,2010-01-15,2022-10-03
CVE-2010-0332,2010-01-15,2022-10-03
CVE-2010-0333,2010-01-15,2022-10-03
CVE-2010-0334,2010-01-15,2022-10-03
CVE-2010-0335,2010-01-15,2022-10-03
CVE-2010-0336,2010-01-15,2022-10-03
CVE-2010-0337,2010-01-15,2022-10-03
CVE-2010-0338,2010-01-15,2022-10-03
CVE-2010-0339,2010-01-15,2022-10-03
CVE-2010-0340,2010-01-15,2022-10-03
CVE-2010-0341,2010-01-15,2022-10-03
CVE-2010-0342,2010-01-15,2022-10-03
CVE-2010-0343,2010-01-15,2022-10-03
CVE-2010-0344,2010-01-15,2022-10-03
CVE-2010-0345,2010-01-15,2022-10-03
CVE-2010-0346,2010-01-15,2022-10-03
CVE-2010-0347,2010-01-15,2022-10-03
CVE-2010-0348,2010-01-15,2022-10-03
CVE-2010-0349,2010-01-15,2022-10-03
CVE-2010-0350,2010-01-15,2022-10-03
CVE-2010-0358,2010-01-20,2022-10-03
CVE-2010-0359,2010-01-20,2022-10-03
CVE-2010-0360,2010-01-20,2022-10-03
CVE-2010-0361,2010-01-20,2022-10-03
CVE-2010-0362,2010-01-20,2022-10-03
CVE-2010-0363,2010-01-20,2022-10-03
CVE-2010-0377,2010-01-21,2022-10-03
CVE-2010-0381,2010-01-22,2022-10-03
CVE-2010-0384,2010-01-25,2022-10-03
CVE-2010-0385,2010-01-25,2022-10-03
CVE-2010-0386,2010-01-25,2022-10-03
CVE-2010-0389,2010-01-25,2022-10-03
CVE-2010-0391,2010-01-26,2022-10-03
CVE-2010-0400,2010-04-07,2022-10-03
CVE-2010-0401,2010-05-04,2022-10-03
CVE-2010-0402,2010-05-04,2022-10-03
CVE-2010-0406,2010-05-04,2022-10-03
CVE-2010-0432,2010-04-15,2022-10-03
CVE-2010-0445,2010-02-11,2022-10-03
CVE-2010-0448,2010-03-31,2022-10-03
CVE-2010-0449,2010-03-31,2022-10-03
CVE-2010-0450,2010-03-31,2022-10-03
CVE-2010-0452,2010-03-29,2022-10-03
CVE-2010-0470,2010-02-02,2022-10-03
CVE-2010-0471,2010-02-02,2022-10-03
CVE-2010-0497,2010-03-30,2022-10-03
CVE-2010-0498,2010-03-30,2022-10-03
CVE-2010-0500,2010-03-30,2022-10-03
CVE-2010-0501,2010-03-30,2022-10-03
CVE-2010-0502,2010-03-30,2022-10-03
CVE-2010-0503,2010-03-30,2022-10-03
CVE-2010-0504,2010-03-30,2022-10-03
CVE-2010-0506,2010-03-30,2022-10-03
CVE-2010-0507,2010-03-30,2022-10-03
CVE-2010-0508,2010-03-30,2022-10-03
CVE-2010-0509,2010-03-30,2022-10-03
CVE-2010-0510,2010-03-30,2022-10-03
CVE-2010-0511,2010-03-30,2022-10-03
CVE-2010-0521,2010-03-30,2022-10-03
CVE-2010-0522,2010-03-30,2022-10-03
CVE-2010-0523,2010-03-30,2022-10-03
CVE-2010-0525,2010-03-30,2022-10-03
CVE-2010-0533,2010-03-30,2022-10-03
CVE-2010-0534,2010-03-30,2022-10-03
CVE-2010-0535,2010-03-30,2022-10-03
CVE-2010-0537,2010-03-30,2022-10-03
CVE-2010-0538,2010-05-21,2022-10-03
CVE-2010-0539,2010-05-21,2022-10-03
CVE-2010-0543,2010-06-17,2022-10-03
CVE-2010-0545,2010-06-17,2022-10-03
CVE-2010-0546,2010-06-17,2022-10-03
CVE-2010-0548,2010-02-04,2022-10-03
CVE-2010-0549,2010-02-04,2022-10-03
CVE-2010-0557,2010-02-05,2022-10-03
CVE-2010-0561,2010-02-08,2022-10-03
CVE-2010-0563,2010-02-08,2022-10-03
CVE-2010-0574,2010-09-10,2022-10-03
CVE-2010-0575,2010-09-10,2022-10-03
CVE-2010-0587,2010-03-05,2022-10-03
CVE-2010-0588,2010-03-05,2022-10-03
CVE-2010-0590,2010-03-05,2022-10-03
CVE-2010-0591,2010-03-05,2022-10-03
CVE-2010-0592,2010-03-05,2022-10-03
CVE-2010-0594,2010-05-04,2022-10-03
CVE-2010-0606,2010-02-11,2022-10-03
CVE-2010-0607,2010-02-11,2022-10-03
CVE-2010-0609,2010-02-11,2022-10-03
CVE-2010-0612,2010-02-11,2022-10-03
CVE-2010-0633,2010-02-12,2022-10-03
CVE-2010-0634,2010-02-12,2022-10-03
CVE-2010-0635,2010-02-12,2022-10-03
CVE-2010-0638,2010-02-15,2022-10-03
CVE-2010-0652,2010-02-18,2022-10-03
CVE-2010-0666,2010-02-19,2022-10-03
CVE-2010-0667,2010-02-26,2022-10-03
CVE-2010-0675,2010-02-22,2022-10-03
CVE-2010-0676,2010-02-22,2022-10-03
CVE-2010-0683,2010-02-25,2022-10-03
CVE-2010-0692,2010-02-23,2022-10-03
CVE-2010-0695,2010-02-23,2022-10-03
CVE-2010-0699,2010-02-23,2022-10-03
CVE-2010-0704,2010-02-24,2022-10-03
CVE-2010-0710,2010-02-25,2022-10-03
CVE-2010-0711,2010-02-25,2022-10-03
CVE-2010-0726,2010-03-02,2022-10-03
CVE-2010-0735,2010-03-18,2022-10-03
CVE-2010-0736,2010-03-19,2022-10-03
CVE-2010-0760,2010-02-26,2022-10-03
CVE-2010-0797,2010-03-02,2022-10-03
CVE-2010-0798,2010-03-02,2022-10-03
CVE-2010-0801,2010-03-02,2022-10-03
CVE-2010-0834,2010-08-09,2022-10-03
CVE-2010-0920,2010-03-03,2022-10-03
CVE-2010-0922,2010-03-03,2022-10-03
CVE-2010-0923,2010-03-03,2022-10-03
CVE-2010-0924,2010-03-03,2022-10-03
CVE-2010-0925,2010-03-03,2022-10-03
CVE-2010-0927,2010-03-05,2022-10-03
CVE-2010-0929,2010-03-05,2022-10-03
CVE-2010-0930,2010-03-05,2022-10-03
CVE-2010-0931,2010-03-05,2022-10-03
CVE-2010-0932,2010-03-05,2022-10-03
CVE-2010-0933,2010-03-05,2022-10-03
CVE-2010-0934,2010-03-05,2022-10-03
CVE-2010-0935,2010-03-05,2022-10-03
CVE-2010-0956,2010-03-09,2022-10-03
CVE-2010-0963,2010-03-16,2022-10-03
CVE-2010-0979,2010-03-16,2022-10-03
CVE-2010-0982,2010-03-16,2022-10-03
CVE-2010-1004,2010-03-19,2022-10-03
CVE-2010-1005,2010-03-19,2022-10-03
CVE-2010-1006,2010-03-19,2022-10-03
CVE-2010-1007,2010-03-19,2022-10-03
CVE-2010-1008,2010-03-19,2022-10-03
CVE-2010-1009,2010-03-19,2022-10-03
CVE-2010-1010,2010-03-19,2022-10-03
CVE-2010-1011,2010-03-19,2022-10-03
CVE-2010-1012,2010-03-19,2022-10-03
CVE-2010-1013,2010-03-19,2022-10-03
CVE-2010-1014,2010-03-19,2022-10-03
CVE-2010-1015,2010-03-19,2022-10-03
CVE-2010-1016,2010-03-19,2022-10-03
CVE-2010-1017,2010-03-19,2022-10-03
CVE-2010-1018,2010-03-19,2022-10-03
CVE-2010-1019,2010-03-19,2022-10-03
CVE-2010-1020,2010-03-19,2022-10-03
CVE-2010-1021,2010-03-19,2022-10-03
CVE-2010-1022,2010-03-19,2022-10-03
CVE-2010-1023,2010-03-19,2022-10-03
CVE-2010-1031,2010-04-01,2022-10-03
CVE-2010-1036,2010-04-28,2022-10-03
CVE-2010-1037,2010-04-28,2022-10-03
CVE-2010-1038,2010-04-28,2022-10-03
CVE-2010-1040,2010-03-23,2022-10-03
CVE-2010-1041,2010-03-22,2022-10-03
CVE-2010-1051,2010-03-22,2022-10-03
CVE-2010-1052,2010-03-22,2022-10-03
CVE-2010-1059,2010-03-23,2022-10-03
CVE-2010-1061,2010-03-23,2022-10-03
CVE-2010-1063,2010-03-23,2022-10-03
CVE-2010-1075,2010-03-23,2022-10-03
CVE-2010-1076,2010-03-23,2022-10-03
CVE-2010-1079,2010-03-23,2022-10-03
CVE-2010-1081,2010-03-23,2022-10-03
CVE-2010-1082,2010-03-23,2022-10-03
CVE-2010-1089,2010-03-24,2022-10-03
CVE-2010-1093,2010-03-24,2022-10-03
CVE-2010-1095,2010-03-24,2022-10-03
CVE-2010-1096,2010-03-24,2022-10-03
CVE-2010-1097,2010-03-24,2022-10-03
CVE-2010-1112,2010-03-25,2022-10-03
CVE-2010-1120,2010-03-25,2022-10-03
CVE-2010-1124,2010-03-26,2022-10-03
CVE-2010-1127,2010-03-26,2022-10-03
CVE-2010-1130,2010-03-26,2022-10-03
CVE-2010-1131,2010-03-26,2022-10-03
CVE-2010-1144,2010-04-06,2022-10-03
CVE-2010-1145,2010-05-20,2022-10-03
